Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.5, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 299.7
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
82it [00:15,  4.31it/s, bound: 0 | nc: 1 | ncall: 347 | eff(%): 23.631 | loglstar:   -inf < -67467.133 <    inf | logz: -67473.675 +/-  0.162 | dlogz: 69493.892 >  0.500]
83it [00:15,  4.22it/s, bound: 0 | nc: 1 | ncall: 348 | eff(%): 23.851 | loglstar:   -inf < -67453.668 <    inf | logz: -67460.214 +/-  0.162 | dlogz: 69473.365 >  0.500]
84it [00:15,  4.30it/s, bound: 0 | nc: 1 | ncall: 349 | eff(%): 24.069 | loglstar:   -inf < -67198.596 <    inf | logz: -67205.146 +/-  0.162 | dlogz: 69459.900 >  0.500]
85it [00:15,  4.36it/s, bound: 0 | nc: 1 | ncall: 350 | eff(%): 24.286 | loglstar:   -inf < -66944.146 <    inf | logz: -66950.700 +/-  0.162 | dlogz: 69204.828 >  0.500]
86it [00:15,  4.62it/s, bound: 0 | nc: 1 | ncall: 351 | eff(%): 24.501 | loglstar:   -inf < -66767.194 <    inf | logz: -66773.752 +/-  0.162 | dlogz: 68950.378 >  0.500]
87it [00:16,  3.61it/s, bound: 0 | nc: 2 | ncall: 353 | eff(%): 24.646 | loglstar:   -inf < -66705.623 <    inf | logz: -66712.185 +/-  0.162 | dlogz: 68773.425 >  0.500]
88it [00:16,  3.95it/s, bound: 0 | nc: 1 | ncall: 354 | eff(%): 24.859 | loglstar:   -inf < -66603.349 <    inf | logz: -66609.915 +/-  0.162 | dlogz: 68711.854 >  0.500]
89it [00:16,  4.21it/s, bound: 0 | nc: 1 | ncall: 355 | eff(%): 25.070 | loglstar:   -inf < -66509.539 <    inf | logz: -66516.109 +/-  0.162 | dlogz: 68609.581 >  0.500]
90it [00:17,  4.37it/s, bound: 0 | nc: 1 | ncall: 356 | eff(%): 25.281 | loglstar:   -inf < -66351.890 <    inf | logz: -66358.464 +/-  0.162 | dlogz: 68515.770 >  0.500]
91it [00:17,  4.67it/s, bound: 0 | nc: 1 | ncall: 357 | eff(%): 25.490 | loglstar:   -inf < -65616.644 <    inf | logz: -65623.222 +/-  0.162 | dlogz: 68358.122 >  0.500]
