Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, without waveform uncertainty) ...

0it [00:00, ?it/s]
95it [00:10,  7.69it/s, bound: 0 | nc: 1 | ncall: 362 | eff(%): 26.243 | loglstar:   -inf < -60134.996 <    inf | logz: -60141.589 +/-  0.162 | dlogz: 67316.324 >  0.500]
96it [00:11,  6.23it/s, bound: 0 | nc: 3 | ncall: 365 | eff(%): 26.301 | loglstar:   -inf < -60087.517 <    inf | logz: -60094.115 +/-  0.162 | dlogz: 67082.767 >  0.500]
98it [00:11,  6.42it/s, bound: 0 | nc: 2 | ncall: 368 | eff(%): 26.630 | loglstar:   -inf < -59857.289 <    inf | logz: -59863.895 +/-  0.162 | dlogz: 67016.358 >  0.500]
100it [00:11,  6.54it/s, bound: 0 | nc: 2 | ncall: 371 | eff(%): 26.954 | loglstar:   -inf < -58911.059 <    inf | logz: -58917.672 +/-  0.162 | dlogz: 66299.889 >  0.500]
101it [00:12,  6.19it/s, bound: 0 | nc: 2 | ncall: 373 | eff(%): 27.078 | loglstar:   -inf < -58043.840 <    inf | logz: -58050.458 +/-  0.163 | dlogz: 65858.831 >  0.500]
103it [00:12,  7.18it/s, bound: 0 | nc: 1 | ncall: 375 | eff(%): 27.467 | loglstar:   -inf < -56432.184 <    inf | logz: -56438.810 +/-  0.163 | dlogz: 64920.389 >  0.500]
105it [00:12,  7.94it/s, bound: 0 | nc: 1 | ncall: 377 | eff(%): 27.851 | loglstar:   -inf < -55925.911 <    inf | logz: -55932.545 +/-  0.163 | dlogz: 63362.739 >  0.500]
106it [00:12,  5.62it/s, bound: 0 | nc: 4 | ncall: 381 | eff(%): 27.822 | loglstar:   -inf < -55615.938 <    inf | logz: -55622.576 +/-  0.163 | dlogz: 62873.683 >  0.500]
107it [00:13,  5.50it/s, bound: 0 | nc: 2 | ncall: 383 | eff(%): 27.937 | loglstar:   -inf < -54971.713 <    inf | logz: -54978.355 +/-  0.163 | dlogz: 62563.710 >  0.500]
109it [00:13,  6.66it/s, bound: 0 | nc: 1 | ncall: 385 | eff(%): 28.312 | loglstar:   -inf < -54386.056 <    inf | logz: -54392.706 +/-  0.163 | dlogz: 61397.765 >  0.500]
